class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,false
barrierRate,0.5
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
291            ,16108          ,10             ,53             ,595492         ,5931           ,0.1887    ,0.7937    
292            ,16107          ,11             ,50             ,595495         ,5931           ,0.2200    ,0.7869    
293            ,16106          ,12             ,44             ,595501         ,5931           ,0.2727    ,0.7857    
294            ,16105          ,13             ,42             ,595503         ,5931           ,0.3095    ,0.8000    
295            ,16105          ,11             ,38             ,595509         ,5931           ,0.2895    ,0.7959    
296            ,16105          ,8              ,40             ,595510         ,5931           ,0.2000    ,0.7917    
297            ,16104          ,9              ,34             ,595516         ,5931           ,0.2647    ,0.7907    
298            ,16104          ,8              ,31             ,595520         ,5931           ,0.2581    ,0.7949    
299            ,16104          ,8              ,30             ,595521         ,5931           ,0.2667    ,0.7895    
300            ,16104          ,8              ,26             ,595525         ,5931           ,0.3077    ,0.7941    
301            ,16104          ,8              ,24             ,595527         ,5931           ,0.3333    ,0.7813    
302            ,16104          ,7              ,23             ,595528         ,5932           ,0.3043    ,0.8000    
303            ,16104          ,7              ,19             ,595532         ,5932           ,0.3684    ,0.7692    
304            ,16104          ,4              ,20             ,595534         ,5932           ,0.2000    ,0.7917    
305            ,16104          ,4              ,18             ,595536         ,5932           ,0.2222    ,0.7727    
306            ,16104          ,3              ,18             ,595537         ,5932           ,0.1667    ,0.7619    
307            ,16104          ,2              ,16             ,595540         ,5932           ,0.1250    ,0.7778    
308            ,16104          ,1              ,17             ,595540         ,5932           ,0.0588    ,0.7778    
309            ,16103          ,2              ,17             ,595540         ,5932           ,0.1176    ,0.7895    
310            ,16103          ,2              ,16             ,595541         ,5932           ,0.1250    ,0.7778    
311            ,16102          ,2              ,14             ,595544         ,5932           ,0.1429    ,0.7500    
312            ,16102          ,2              ,14             ,595544         ,5932           ,0.1429    ,0.7500    
313            ,16102          ,2              ,14             ,595544         ,5932           ,0.1429    ,0.7500    
314            ,16102          ,2              ,14             ,595544         ,5932           ,0.1429    ,0.7500    
315            ,16102          ,2              ,12             ,595546         ,5932           ,0.1667    ,0.7857    
316            ,16102          ,2              ,9              ,595549         ,5932           ,0.2222    ,0.7273    
317            ,16102          ,2              ,9              ,595549         ,5932           ,0.2222    ,0.7273    
318            ,16102          ,2              ,8              ,595550         ,5932           ,0.2500    ,0.8000    
319            ,16102          ,2              ,8              ,595550         ,5932           ,0.2500    ,0.8000    
320            ,16102          ,2              ,8              ,595550         ,5932           ,0.2500    ,0.8000    
