class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.1
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
618            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
619            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
620            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
621            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
622            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
623            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
624            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
625            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
626            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
627            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
628            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
629            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
630            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
631            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
632            ,25090          ,0              ,1              ,586772         ,5731           ,0.0000    ,0.0000    
633            ,25090          ,0              ,1              ,586772         ,5731           ,0.0000    ,0.0000    
634            ,25090          ,0              ,0              ,586773         ,5731           ,0.0000    ,0.0000    
