class edu.neu.info6205.model.Virus
name,SARS
R,0.0
superSpreaderRate,0.01
infectiousRadius,100.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.5
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
486            ,118953         ,220            ,614            ,492818         ,4989           ,0.3583    ,0.7998    
487            ,118940         ,221            ,583            ,492860         ,4990           ,0.3791    ,0.7998    
488            ,118927         ,215            ,568            ,492894         ,4990           ,0.3785    ,0.7995    
489            ,118919         ,207            ,543            ,492935         ,4990           ,0.3812    ,0.8000    
490            ,118907         ,199            ,522            ,492975         ,4991           ,0.3812    ,0.7989    
491            ,118898         ,190            ,495            ,493020         ,4991           ,0.3838    ,0.8000    
492            ,118889         ,183            ,475            ,493056         ,4991           ,0.3853    ,0.7994    
493            ,118883         ,172            ,456            ,493092         ,4991           ,0.3772    ,0.7994    
494            ,118865         ,173            ,442            ,493123         ,4991           ,0.3914    ,0.8000    
495            ,118852         ,165            ,431            ,493154         ,4992           ,0.3828    ,0.7987    
496            ,118836         ,165            ,413            ,493188         ,4992           ,0.3995    ,0.7993    
497            ,118830         ,158            ,403            ,493211         ,4992           ,0.3921    ,0.7986    
498            ,118820         ,158            ,386            ,493238         ,4992           ,0.4093    ,0.7996    
499            ,118814         ,154            ,371            ,493263         ,4992           ,0.4151    ,0.8000    
500            ,118812         ,141            ,363            ,493286         ,4992           ,0.3884    ,0.7996    
501            ,118804         ,136            ,349            ,493313         ,4992           ,0.3897    ,0.8000    
502            ,118799         ,128            ,344            ,493330         ,4993           ,0.3721    ,0.7987    
503            ,118792         ,127            ,333            ,493349         ,4993           ,0.3814    ,0.8000    
504            ,118788         ,119            ,318            ,493376         ,4993           ,0.3742    ,0.7986    
505            ,118784         ,114            ,303            ,493400         ,4993           ,0.3762    ,0.7986    
506            ,118777         ,112            ,284            ,493427         ,4994           ,0.3944    ,0.7980    
507            ,118775         ,108            ,278            ,493439         ,4994           ,0.3885    ,0.7979    
508            ,118771         ,94             ,277            ,493457         ,4995           ,0.3394    ,0.7978    
509            ,118767         ,85             ,274            ,493472         ,4996           ,0.3102    ,0.7994    
510            ,118764         ,72             ,270            ,493492         ,4996           ,0.2667    ,0.7982    
511            ,118757         ,73             ,258            ,493509         ,4997           ,0.2829    ,0.7976    
512            ,118748         ,72             ,252            ,493525         ,4997           ,0.2857    ,0.7994    
513            ,118746         ,68             ,241            ,493542         ,4997           ,0.2822    ,0.7994    
514            ,118739         ,73             ,226            ,493558         ,4998           ,0.3230    ,0.7993    
515            ,118733         ,71             ,213            ,493579         ,4998           ,0.3333    ,0.7993    
516            ,118732         ,67             ,202            ,493594         ,4999           ,0.3317    ,0.7993    
517            ,118727         ,65             ,196            ,493607         ,4999           ,0.3316    ,0.7969    
518            ,118722         ,66             ,190            ,493617         ,4999           ,0.3474    ,0.7969    
519            ,118718         ,66             ,184            ,493627         ,4999           ,0.3587    ,0.8000    
520            ,118713         ,64             ,176            ,493642         ,4999           ,0.3636    ,0.8000    
521            ,118712         ,63             ,165            ,493655         ,4999           ,0.3818    ,0.7982    
522            ,118709         ,62             ,156            ,493668         ,4999           ,0.3974    ,0.7982    
523            ,118708         ,59             ,152            ,493676         ,4999           ,0.3882    ,0.7962    
524            ,118706         ,58             ,143            ,493688         ,4999           ,0.4056    ,0.7960    
525            ,118704         ,53             ,141            ,493697         ,4999           ,0.3759    ,0.7990    
526            ,118700         ,48             ,141            ,493706         ,4999           ,0.3404    ,0.7989    
527            ,118695         ,51             ,137            ,493712         ,4999           ,0.3723    ,0.7979    
528            ,118695         ,44             ,126            ,493730         ,4999           ,0.3492    ,0.8000    
