class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.5
maskUseRate,1.0
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
643            ,352040         ,10204          ,16813          ,236098         ,2439           ,0.6069    ,0.8000    
644            ,351389         ,10144          ,16592          ,237018         ,2451           ,0.6114    ,0.8000    
645            ,350715         ,10073          ,16456          ,237893         ,2457           ,0.6121    ,0.8000    
646            ,350121         ,9902           ,16355          ,238752         ,2464           ,0.6054    ,0.8000    
647            ,349493         ,9835           ,16115          ,239679         ,2472           ,0.6103    ,0.8000    
648            ,348856         ,9719           ,16016          ,240523         ,2480           ,0.6068    ,0.8000    
649            ,348165         ,9613           ,15911          ,241411         ,2494           ,0.6042    ,0.8000    
650            ,347518         ,9496           ,15844          ,242239         ,2497           ,0.5993    ,0.8000    
651            ,346945         ,9379           ,15723          ,243045         ,2502           ,0.5965    ,0.8000    
652            ,346327         ,9279           ,15562          ,243914         ,2512           ,0.5963    ,0.8000    
653            ,345719         ,9142           ,15472          ,244742         ,2519           ,0.5909    ,0.8000    
654            ,345070         ,9088           ,15277          ,245632         ,2527           ,0.5949    ,0.8000    
655            ,344512         ,8961           ,15110          ,246476         ,2535           ,0.5931    ,0.8000    
656            ,343877         ,8897           ,14982          ,247291         ,2547           ,0.5938    ,0.8000    
657            ,343282         ,8758           ,14933          ,248071         ,2550           ,0.5865    ,0.8000    
658            ,342747         ,8642           ,14806          ,248844         ,2555           ,0.5837    ,0.8000    
659            ,342170         ,8545           ,14689          ,249629         ,2561           ,0.5817    ,0.8000    
660            ,341629         ,8492           ,14502          ,250399         ,2572           ,0.5856    ,0.8000    
661            ,341058         ,8435           ,14355          ,251164         ,2582           ,0.5876    ,0.8000    
662            ,340524         ,8332           ,14210          ,251940         ,2588           ,0.5863    ,0.8000    
663            ,339966         ,8199           ,14079          ,252759         ,2591           ,0.5824    ,0.8000    
664            ,339443         ,8075           ,14015          ,253462         ,2599           ,0.5762    ,0.8000    
665            ,338909         ,8036           ,13843          ,254199         ,2607           ,0.5805    ,0.8000    
666            ,338388         ,7939           ,13696          ,254954         ,2617           ,0.5797    ,0.8000    
667            ,337844         ,7875           ,13609          ,255644         ,2622           ,0.5787    ,0.8000    
668            ,337312         ,7758           ,13505          ,256388         ,2631           ,0.5745    ,0.8000    
669            ,336719         ,7793           ,13266          ,257178         ,2638           ,0.5874    ,0.8000    
670            ,336196         ,7681           ,13137          ,257934         ,2646           ,0.5847    ,0.8000    
671            ,335686         ,7596           ,13042          ,258618         ,2652           ,0.5824    ,0.8000    
672            ,335185         ,7562           ,12859          ,259329         ,2659           ,0.5881    ,0.8000    
673            ,334687         ,7483           ,12691          ,260064         ,2669           ,0.5896    ,0.8000    
674            ,334198         ,7431           ,12529          ,260764         ,2672           ,0.5931    ,0.8000    
675            ,333734         ,7324           ,12415          ,261446         ,2675           ,0.5899    ,0.8000    
676            ,333225         ,7299           ,12250          ,262138         ,2682           ,0.5958    ,0.8000    
677            ,332739         ,7227           ,12074          ,262866         ,2688           ,0.5986    ,0.8000    
678            ,332269         ,7174           ,11946          ,263506         ,2699           ,0.6005    ,0.8000    
679            ,331800         ,7109           ,11806          ,264176         ,2703           ,0.6022    ,0.8000    
680            ,331377         ,7011           ,11733          ,264763         ,2710           ,0.5975    ,0.8000    
681            ,330960         ,6884           ,11649          ,265384         ,2717           ,0.5910    ,0.8000    
682            ,330513         ,6799           ,11544          ,266013         ,2725           ,0.5890    ,0.8000    
683            ,330077         ,6642           ,11446          ,266696         ,2733           ,0.5803    ,0.8000    
684            ,329608         ,6588           ,11322          ,267336         ,2740           ,0.5819    ,0.8000    
685            ,329202         ,6484           ,11259          ,267906         ,2743           ,0.5759    ,0.8000    
686            ,328775         ,6410           ,11142          ,268518         ,2749           ,0.5753    ,0.8000    
687            ,328340         ,6347           ,11032          ,269119         ,2756           ,0.5753    ,0.8000    
688            ,327920         ,6278           ,10872          ,269762         ,2762           ,0.5774    ,0.8000    
689            ,327470         ,6264           ,10778          ,270315         ,2767           ,0.5812    ,0.8000    
690            ,327088         ,6137           ,10652          ,270944         ,2773           ,0.5761    ,0.8000    
691            ,326696         ,6043           ,10543          ,271536         ,2776           ,0.5732    ,0.8000    
692            ,326335         ,5934           ,10478          ,272059         ,2788           ,0.5663    ,0.8000    
693            ,325944         ,5856           ,10370          ,272631         ,2793           ,0.5647    ,0.8000    
694            ,325591         ,5786           ,10252          ,273164         ,2801           ,0.5644    ,0.8000    
695            ,325237         ,5723           ,10098          ,273729         ,2807           ,0.5667    ,0.7999    
696            ,324870         ,5643           ,10011          ,274258         ,2812           ,0.5637    ,0.8000    
697            ,324522         ,5555           ,9889           ,274816         ,2812           ,0.5617    ,0.8000    
698            ,324168         ,5440           ,9835           ,275335         ,2816           ,0.5531    ,0.8000    
699            ,323810         ,5392           ,9707           ,275868         ,2817           ,0.5555    ,0.8000    
700            ,323441         ,5334           ,9613           ,276384         ,2822           ,0.5549    ,0.8000    
701            ,323067         ,5273           ,9504           ,276924         ,2826           ,0.5548    ,0.8000    
702            ,322665         ,5255           ,9392           ,277449         ,2833           ,0.5595    ,0.8000    
703            ,322328         ,5142           ,9249           ,278032         ,2843           ,0.5560    ,0.7999    
704            ,321992         ,5096           ,9108           ,278547         ,2851           ,0.5595    ,0.8000    
705            ,321648         ,5048           ,8990           ,279052         ,2856           ,0.5615    ,0.8000    
706            ,321360         ,4975           ,8850           ,279546         ,2863           ,0.5621    ,0.8000    
707            ,321036         ,4908           ,8743           ,280038         ,2869           ,0.5614    ,0.7999    
708            ,320750         ,4841           ,8607           ,280522         ,2874           ,0.5624    ,0.8000    
709            ,320419         ,4818           ,8497           ,280978         ,2882           ,0.5670    ,0.8000    
710            ,320075         ,4795           ,8355           ,281481         ,2888           ,0.5739    ,0.8000    
711            ,319754         ,4768           ,8217           ,281963         ,2892           ,0.5803    ,0.8000    
712            ,319468         ,4700           ,8101           ,282431         ,2894           ,0.5802    ,0.7999    
713            ,319188         ,4622           ,7990           ,282896         ,2898           ,0.5785    ,0.8000    
714            ,318904         ,4537           ,7936           ,283312         ,2905           ,0.5717    ,0.8000    
715            ,318608         ,4459           ,7893           ,283721         ,2913           ,0.5649    ,0.8000    
716            ,318303         ,4362           ,7848           ,284158         ,2923           ,0.5558    ,0.8000    
717            ,318004         ,4324           ,7749           ,284591         ,2926           ,0.5580    ,0.8000    
718            ,317726         ,4266           ,7616           ,285056         ,2930           ,0.5601    ,0.7999    
719            ,317476         ,4172           ,7554           ,285458         ,2934           ,0.5523    ,0.7999    
720            ,317201         ,4159           ,7415           ,285882         ,2937           ,0.5609    ,0.8000    
721            ,316951         ,4085           ,7304           ,286313         ,2941           ,0.5593    ,0.8000    
722            ,316695         ,4055           ,7170           ,286731         ,2943           ,0.5656    ,0.8000    
723            ,316435         ,3984           ,7051           ,287178         ,2946           ,0.5650    ,0.8000    
724            ,316181         ,3894           ,7013           ,287558         ,2948           ,0.5553    ,0.7999    
725            ,315934         ,3820           ,6942           ,287943         ,2955           ,0.5503    ,0.7999    
726            ,315673         ,3795           ,6867           ,288299         ,2960           ,0.5526    ,0.7999    
727            ,315452         ,3736           ,6756           ,288687         ,2963           ,0.5530    ,0.7999    
728            ,315211         ,3693           ,6687           ,289035         ,2968           ,0.5523    ,0.8000    
729            ,314970         ,3638           ,6629           ,289388         ,2969           ,0.5488    ,0.7999    
730            ,314752         ,3551           ,6567           ,289747         ,2977           ,0.5407    ,0.8000    
731            ,314521         ,3483           ,6518           ,290089         ,2983           ,0.5344    ,0.7999    
732            ,314285         ,3441           ,6442           ,290439         ,2987           ,0.5342    ,0.8000    
